Protein names,Gene names,Majority protein IDs,Entry name,C: Gene ontology (biological process),C: Gene ontology (cellular component),C: Gene ontology (molecular function),C: Gene ontology (GO),Length,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,27.5,55,110,220,440,1100
ATP-dependent zinc metalloprotease FtsH 1 (EC 3.4.24.-),ftsH1 slr1390,P73179,FTSH1_SYNY3,photoinhibition [GO:0010205];photosystem II repair [GO:0010206];proteolysis [GO:0006508];PSII associated light-harvesting complex II catabolic process [GO:0010304],integral component of membrane [GO:0016021];thylakoid membrane [GO:0042651],ATP binding [GO:0005524];ATP-dependent peptidase activity [GO:0004176];metal ion binding [GO:0046872];metalloendopeptidase activity [GO:0004222];metallopeptidase activity [GO:0008237],ATP binding [GO:0005524];ATP-dependent peptidase activity [GO:0004176];integral component of membrane [GO:0016021];metal ion binding [GO:0046872];metalloendopeptidase activity [GO:0004222];metallopeptidase activity [GO:0008237];photoinhibition [GO:0010205];photosystem II repair [GO:0010206];proteolysis [GO:0006508];PSII associated light-harvesting complex II catabolic process [GO:0010304];thylakoid membrane [GO:0042651],665,21,18,18,42.4,72.109,0,323.31,2470800000,214,0.3690892,0.3924108,0.4162826,0.3920644,0.4750116,0.6240512
Fe(2+) transporter FeoB (Ferrous iron transport protein B homolog),feoB slr1392,P73182,FEOB_SYNY3,iron ion homeostasis [GO:0055072],integral component of membrane [GO:0016021];plasma membrane [GO:0005886],ferrous iron transmembrane transporter activity [GO:0015093];GTP binding [GO:0005525],ferrous iron transmembrane transporter activity [GO:0015093];GTP binding [GO:0005525];integral component of membrane [GO:0016021];iron ion homeostasis [GO:0055072];plasma membrane [GO:0005886],614,3,3,3,5.5,67.404,0.0036176,1.8401,905870000,13,0.4053708,0.5136344,0.4531838,0.57387808,0.23657022,0.27054082
Sensory transduction histidine kinase,slr1393,P73184,P73184_SYNY3,protein-chromophore linkage [GO:0018298],intracellular [GO:0005622],phosphorelay sensor kinase activity [GO:0000155],intracellular [GO:0005622];phosphorelay sensor kinase activity [GO:0000155];protein-chromophore linkage [GO:0018298],974,2,2,2,2.8,109.53,0.0080727,1.4842,27597000,1,0.01101479,0.008191548,0.005078645,0.006613965,0.004897158,0.004202188
Slr1394 protein,slr1394,P73185,P73185_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],151,2,2,2,17.9,15.996,0,4.657,172430000,20,0.275114,0.3148568,0.20376366,0.2111998,0.20095996,0.14730924
Slr1395 protein,slr1395,P73187,P73187_SYNY3,,,,,358,4,4,4,9.8,40.525,0,30.633,242930000,54,0.16534504,0.1459408,0.11209026,0.1336185,0.1164344,0.1015326
Slr1397 protein,slr1397,P73189,P73189_SYNY3,,,,,207,4,4,4,21.7,22.967,0,35.819,296180000,64,0.2780842,0.22987476,0.2182974,0.2880728,0.24048836,0.19205174
Slr1398 protein,slr1398,P73190,P73190_SYNY3,,,,,250,3,3,3,12.4,28.331,0.00055127,2.9548,135840000,9,0.09123224,0.086246675,0.052761,0.05894544,0.07312795,0.05758664
Serine esterase,sll1284,P73192,P73192_SYNY3,,,hydrolase activity [GO:0016787],hydrolase activity [GO:0016787],204,3,3,3,24.5,22.209,0,66.848,221110000,55,0.3338488,0.3016814,0.23356248,0.309639,0.244211,0.2194414
Sporulation protein SpoIID,spoIID,P73193,P73193_SYNY3,sporulation resulting in formation of a cellular spore [GO:0030435],outer membrane-bounded periplasmic space [GO:0030288],,outer membrane-bounded periplasmic space [GO:0030288];sporulation resulting in formation of a cellular spore [GO:0030435],391,5,5,5,15.9,42.134,0,19.636,341640000,44,0.0413996,0.074538025,0.0912484,0.13723425,0.14752456,0.16686038
Slr1699 protein,slr1699,P73194,P73194_SYNY3,,,,,282,3,3,3,12.4,31.919,0.00054765,2.8619,89359000,8,0.05267475,0.069396775,0.06209148,0.10191045,0.049716386,0.0526159
DNA ligase,lig,P73196,P73196_SYNY3,,,ligase activity [GO:0016874],ligase activity [GO:0016874],562,40,40,40,83.6,61.468,0,323.31,9417100000,745,3.96055,3.335274,2.665814,2.5373734,2.39191,2.071172
Sll1582 protein,sll1582,P73197,P73197_SYNY3,,,,,1118,4,4,4,3.7,129.02,0,11.034,475280000,28,0.05848536,0.05471684,0.05754674,0.06544488,0.06153652,0.04340758
GumB protein,gumB,P73198,P73198_SYNY3,,membrane [GO:0016020],polysaccharide transmembrane transporter activity [GO:0015159],membrane [GO:0016020];polysaccharide transmembrane transporter activity [GO:0015159],504,12,12,12,39.7,54.125,0,190.69,957300000,253,0.3211072,0.3090036,0.314372,0.268143,0.338446,0.2703734
Slr1702 protein,slr1702,P73200,P73200_SYNY3,,,,,251,12,12,12,70.9,27.287,0,247.58,2561500000,264,1.159272,1.169642,1.346632,1.303816,1.4145,1.409584
Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase),serS slr1703,P73201,SYS_SYNY3,selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056];seryl-tRNA aminoacylation [GO:0006434],cytoplasm [GO:0005737],ATP binding [GO:0005524];serine-tRNA ligase activity [GO:0004828],ATP binding [GO:0005524];cytoplasm [GO:0005737];selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056];serine-tRNA ligase activity [GO:0004828];seryl-tRNA aminoacylation [GO:0006434],430,18,18,18,49.1,48.037,0,301.27,5065700000,315,1.2031414,1.259958,1.576254,1.592008,1.492256,1.391476
"Phycobilisome 8.9 kDa linker polypeptide, phycocyanin-associated, rod (L-8.9/R) (Rod-capping linker protein)",cpcD ssl3093,P73202,PYS1_SYNY3,photosynthesis [GO:0015979],phycobilisome [GO:0030089],,photosynthesis [GO:0015979];phycobilisome [GO:0030089],83,10,10,10,91.6,9.3222,0,323.31,34058000000,334,69.55928,55.71316,39.96986,45.43858,39.38796,25.61808
"Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod 1",cpcC1 sll1580,P73203,PYR1_SYNY3,photosynthesis [GO:0015979],phycobilisome [GO:0030089],,photosynthesis [GO:0015979];phycobilisome [GO:0030089],291,37,37,37,80.1,32.52,0,323.31,4.06E+11,1376,307.731,264.0392,199.49506,213.5764,200.7932,131.83842
"Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod 2",cpcC2 sll1579,P73204,PYR2_SYNY3,photosynthesis [GO:0015979],phycobilisome [GO:0030089],,photosynthesis [GO:0015979];phycobilisome [GO:0030089],273,28,28,28,70.3,30.797,0,323.31,2.92E+11,1186,250.2808,202.92912,150.2454,153.883,145.3775,81.59458
Putative dihydroflavonol 4-reductase (DFR) (EC 1.1.1.219) (Dihydrokaempferol 4-reductase),dfrA slr1706,P73212,DFRA_SYNY3,flavonoid biosynthetic process [GO:0009813],,coenzyme binding [GO:0050662];dihydrokaempferol 4-reductase activity [GO:0045552],coenzyme binding [GO:0050662];dihydrokaempferol 4-reductase activity [GO:0045552];flavonoid biosynthetic process [GO:0009813],343,2,2,2,5.8,37.864,0,3.7901,135430000,17,0.0567497,0.05696866,0.05275328,0.06450638,0.07491874,0.06120066
Sll1571 protein,sll1571,P73216,P73216_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],313,5,5,5,18.5,34.534,0,9.0856,622660000,41,0.62343134,0.6733734,0.795322,0.7726854,0.6896768,0.4269512
Sll1570 protein,sll1570,P73217,P73217_SYNY3,,,,,243,3,3,3,24.7,26.62,0,13.998,113840000,7,0.07141876,0.11466712,0.09126318,0.050639,0.082041,0.1461072
Fibrillin,sll1568,P73219,P73219_SYNY3,,,,,202,10,10,10,53,22.728,0,49.47,977880000,99,0.5177728,0.4868582,0.5060912,0.5251702,0.4878184,0.412404
ABC transporter,sll1927,P73220,P73220_SYNY3,peptide transport [GO:0015833],,ATP binding [GO:0005524];ATPase activity [GO:0016887],ATP binding [GO:0005524];ATPase activity [GO:0016887];peptide transport [GO:0015833],650,11,11,11,28.6,72.878,0,63.885,984470000,125,0.2469726,0.2137002,0.2203724,0.2292336,0.217801,0.20465
Slr2005 protein,slr2005,P73222,P73222_SYNY3,,outer membrane-bounded periplasmic space [GO:0030288],,outer membrane-bounded periplasmic space [GO:0030288],261,7,7,7,42.1,27.975,0,107.45,2344000000,144,1.2562812,1.1082024,0.9951348,1.00701,1.0944802,1.0891344
Slr2018 protein,slr2018,P73238,P73238_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],799,7,7,7,16.4,84.853,0,58.706,475050000,82,0.2860079,0.1995884,0.1328896,0.16651722,0.14479454,0.10454158
ABC transporter,slr2019,P73239,P73239_SYNY3,,integral component of membrane [GO:0016021],ATP binding [GO:0005524];lipid-transporting ATPase activity [GO:0034040],ATP binding [GO:0005524];integral component of membrane [GO:0016021];lipid-transporting ATPase activity [GO:0034040],593,9,9,9,23.6,65.761,0,109.06,375640000,91,0.07920552,0.08583744,0.09956448,0.09362972,0.1237779,0.145489
Sll1921 protein,sll1921,P73240,P73240_SYNY3,,,,,251,3,3,2,17.1,28.295,0,12.752,253530000,28,0.14194108,0.15009496,0.15892456,0.14270694,0.12823274,0.14478588
Probable copper-transporting ATPase PacS (EC 3.6.3.54),pacS sll1920,P73241,ATCS_SYNY3,copper ion import [GO:0015677],integral component of membrane [GO:0016021];plasma membrane [GO:0005886],ATP binding [GO:0005524];cation-transporting ATPase activity [GO:0019829];copper ion binding [GO:0005507],ATP binding [GO:0005524];cation-transporting ATPase activity [GO:0019829];copper ion binding [GO:0005507];copper ion import [GO:0015677];integral component of membrane [GO:0016021];plasma membrane [GO:0005886],745,5,5,5,8.3,79.949,0,38.227,201790000,57,0.07131282,0.07028964,0.07224462,0.06690998,0.05895894,0.0463373
Malonyl CoA-acyl carrier protein transacylase (MCT) (EC 2.3.1.39),fabD slr2023,P73242,FABD_SYNY3,fatty acid biosynthetic process [GO:0006633],,[acyl-carrier-protein] S-malonyltransferase activity [GO:0004314],[acyl-carrier-protein] S-malonyltransferase activity [GO:0004314];fatty acid biosynthetic process [GO:0006633],293,6,6,6,18.1,31.49,0,23.524,1156800000,55,0.7175124,0.713558,0.9005392,0.944275,1.0151824,1.1475658
CheY subfamily,slr2024,P73243,P73243_SYNY3,phosphorelay signal transduction system [GO:0000160],intracellular [GO:0005622],,intracellular [GO:0005622];phosphorelay signal transduction system [GO:0000160],180,11,11,11,67.2,20.233,0,76.225,4233900000,138,2.675882,3.024586,2.888696,2.915096,2.67055,2.689676
Slr2025 protein,slr2025,P73244,P73244_SYNY3,,,,,153,4,4,4,39.9,16.888,0,160.38,2021200000,31,5.701882,4.304738,3.284522,3.395612,3.954302,3.390592
Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase),folP slr2026,P73248,DHPS_SYNY3,folic acid biosynthetic process [GO:0046656];tetrahydrofolate biosynthetic process [GO:0046654],cytosol [GO:0005829],dihydropteroate synthase activity [GO:0004156];metal ion binding [GO:0046872],cytosol [GO:0005829];dihydropteroate synthase activity [GO:0004156];folic acid biosynthetic process [GO:0046656];metal ion binding [GO:0046872];tetrahydrofolate biosynthetic process [GO:0046654],289,4,4,4,17,31.602,0.00054915,2.8808,104150000,43,0.0655015,0.04719856,0.0359978,0.0321487,0.03813052,0.05690678
Sll1913 protein,sll1913,P73250,P73250_SYNY3,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],599,6,6,6,14.7,66.599,0,15.678,275950000,31,0.07075318,0.07749128,0.0761744,0.09205262,0.0822462,0.07125484
Sll1911 protein,sll1911,P73253,P73253_SYNY3,,,,,128,8,8,8,67.2,14.126,0,139.37,1296600000,77,0.6904024,0.6645932,0.9416682,0.6353278,1.1110034,1.6547486
Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),argH slr1133,P73257,ARLY_SYNY3,arginine biosynthetic process via ornithine [GO:0042450],cytoplasm [GO:0005737],argininosuccinate lyase activity [GO:0004056],arginine biosynthetic process via ornithine [GO:0042450];argininosuccinate lyase activity [GO:0004056];cytoplasm [GO:0005737],461,20,20,20,50.5,50.947,0,323.31,6423700000,370,2.502456,2.470866,2.333242,2.358964,2.373396,2.215892
Sll1084 protein,sll1084,P73260,P73260_SYNY3,,,catalytic activity [GO:0003824];iron-sulfur cluster binding [GO:0051536],catalytic activity [GO:0003824];iron-sulfur cluster binding [GO:0051536],865,8,8,8,12.8,97.388,0,37.543,651290000,85,0.1481154,0.1484294,0.1546188,0.1513901,0.1513402,0.1536196
Thioredoxin-like protein slr1139,slr1139,P73263,THIO2_SYNY3,cell redox homeostasis [GO:0045454];cellular response to oxidative stress [GO:0034599];glycerol ether metabolic process [GO:0006662],cytosol [GO:0005829],"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor [GO:0016671];protein disulfide oxidoreductase activity [GO:0015035];protein-disulfide reductase activity [GO:0047134];thioredoxin-disulfide reductase activity [GO:0004791]","cell redox homeostasis [GO:0045454];cellular response to oxidative stress [GO:0034599];cytosol [GO:0005829];glycerol ether metabolic process [GO:0006662];oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor [GO:0016671];protein disulfide oxidoreductase activity [GO:0015035];protein-disulfide reductase activity [GO:0047134];thioredoxin-disulfide reductase activity [GO:0004791]",109,6,6,6,44,12.171,0,74.991,2028700000,82,2.384734,2.619928,2.466792,2.564462,2.522608,2.231556
3-amino-5-hydroxybenzoic acid synthase,slr1140,P73264,P73264_SYNY3,,,catalytic activity [GO:0003824],catalytic activity [GO:0003824],378,19,19,19,70.9,41.559,0,323.31,6891300000,297,2.302748,2.34718,2.444612,2.574958,2.577658,2.531012
Sll1080 protein,sll1080,P73267,P73267_SYNY3,,membrane [GO:0016020],"ATPase activity, coupled to transmembrane movement of substances [GO:0042626];transporter activity [GO:0005215]","ATPase activity, coupled to transmembrane movement of substances [GO:0042626];membrane [GO:0016020];transporter activity [GO:0005215]",352,8,8,8,26.1,38.209,0,42.716,1001400000,82,1.0010674,0.688397,0.5954836,0.5686732,0.6004764,0.55282
Probable agmatinase 2 (EC 3.5.3.11) (Agmatine ureohydrolase 2) (AUH 2),speB2 sll1077,P73270,SPEB2_SYNY3,putrescine biosynthetic process [GO:0009446],,agmatinase activity [GO:0008783];metal ion binding [GO:0046872],agmatinase activity [GO:0008783];metal ion binding [GO:0046872];putrescine biosynthetic process [GO:0009446],390,6,6,6,17.9,42.963,0,10.823,734560000,43,0.2214796,0.240578,0.3044474,0.3013694,0.2528434,0.2251062
Slr1143 protein,slr1143,P73272,P73272_SYNY3,,,,,343,6,6,6,21,38.761,0,10.994,396760000,82,0.1741692,0.1568552,0.1310594,0.1438454,0.1545256,0.125361
Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS),leuS sll1074,P73274,SYL_SYNY3,leucyl-tRNA aminoacylation [GO:0006429],cytosol [GO:0005829],aminoacyl-tRNA editing activity [GO:0002161];ATP binding [GO:0005524];leucine-tRNA ligase activity [GO:0004823],aminoacyl-tRNA editing activity [GO:0002161];ATP binding [GO:0005524];cytosol [GO:0005829];leucine-tRNA ligase activity [GO:0004823];leucyl-tRNA aminoacylation [GO:0006429],869,32,32,32,48.3,98.294,0,323.31,10531000000,476,1.721926,1.870284,1.790992,1.885334,1.966708,2.03165
ABC transporter,slr1149,P73278,P73278_SYNY3,,integral component of membrane [GO:0016021],ATP binding [GO:0005524];lipid-transporting ATPase activity [GO:0034040],ATP binding [GO:0005524];integral component of membrane [GO:0016021];lipid-transporting ATPase activity [GO:0034040],601,3,3,3,7.3,67.374,0,6.4131,138360000,28,0.03599964,0.036355375,0.0356952,0.03845765,0.03603194,0.036093246
Slr1150 protein,slr1150,P73279,P73279_SYNY3,,,,,170,2,2,2,10.6,18.995,0,6.7139,205590000,27,0.37995125,0.4203572,0.3997082,0.4001886,0.4310174,0.2326266
Sll1071 protein,sll1071,P73281,P73281_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],275,9,9,9,35.3,30.532,0,40.578,1272800000,132,0.9031618,0.8567072,0.8383866,0.7913638,0.5336732,0.6835388
Transketolase (EC 2.2.1.1),tktA,P73282,P73282_SYNY3,metabolic process [GO:0008152],,metal ion binding [GO:0046872];transketolase activity [GO:0004802],metabolic process [GO:0008152];metal ion binding [GO:0046872];transketolase activity [GO:0004802],670,43,43,43,66.4,71.724,0,323.31,1.71E+11,1430,48.26926,52.84374,55.78276,56.22896,59.41136,60.02852
3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II),fabF sll1069,P73283,FABF_SYNY3,fatty acid biosynthetic process [GO:0006633],,beta-ketoacyl-acyl-carrier-protein synthase II activity [GO:0033817],beta-ketoacyl-acyl-carrier-protein synthase II activity [GO:0033817];fatty acid biosynthetic process [GO:0006633],416,18,18,18,57.7,44.004,0,323.31,6407400000,467,1.934834,2.335122,2.356302,2.332324,2.358948,2.32015
Bacterioferritin (EC 1.16.3.1),bfr,P73287,P73287_SYNY3,cellular iron ion homeostasis [GO:0006879];iron ion transport [GO:0006826],cell [GO:0005623],ferric iron binding [GO:0008199];ferroxidase activity [GO:0004322],cell [GO:0005623];cellular iron ion homeostasis [GO:0006879];ferric iron binding [GO:0008199];ferroxidase activity [GO:0004322];iron ion transport [GO:0006826],176,7,7,7,53.4,20.226,0,100.87,4103900000,176,3.62694,3.54566,3.585334,4.070668,3.186126,2.566594
Aklaviketone reductase,sll1825,P73288,P73288_SYNY3,,,,,210,6,6,6,41.9,21.976,0,24.572,1484800000,59,2.2400496,1.4723586,0.9718796,1.4144534,1.030957,0.8745122
50S ribosomal protein L25,rplY sll1824,P73289,RL25_SYNY3,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],5S rRNA binding [GO:0008097];structural constituent of ribosome [GO:0003735],5S rRNA binding [GO:0008097];cytosolic large ribosomal subunit [GO:0022625];structural constituent of ribosome [GO:0003735];translation [GO:0006412],98,6,6,6,46.9,11.141,0,295.22,12324000000,116,12.013786,13.31756,14.434,14.88216,15.54752,16.22828
Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase),purA sll1823,P73290,PURA_SYNY3,'de novo' AMP biosynthetic process [GO:0044208];IMP metabolic process [GO:0046040],cytoplasm [GO:0005737],adenylosuccinate synthase activity [GO:0004019];GTP binding [GO:0005525];metal ion binding [GO:0046872],adenylosuccinate synthase activity [GO:0004019];cytoplasm [GO:0005737];'de novo' AMP biosynthetic process [GO:0044208];GTP binding [GO:0005525];IMP metabolic process [GO:0046040];metal ion binding [GO:0046872],444,29,29,29,71.8,48.792,0,323.31,13565000000,630,2.640602,3.211432,3.845128,3.78679,4.01488,4.097044
,rpmE rpl31 ssl3445,P73292,RL31_SYNY3,translation [GO:0006412],ribosome [GO:0005840],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],ribosome [GO:0005840];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],81,2,2,2,27.2,9.3036,0,25.714,2253900000,17,3.772234,3.604464,3.723532,3.362352,4.2982,5.498552
30S ribosomal protein S9,rpsI rps9 sll1822,P73293,RS9_SYNY3,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462];translation [GO:0006412]",cytosolic small ribosomal subunit [GO:0022627],RNA binding [GO:0003723];structural constituent of ribosome [GO:0003735],"cytosolic small ribosomal subunit [GO:0022627];maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462];RNA binding [GO:0003723];structural constituent of ribosome [GO:0003735];translation [GO:0006412]",137,15,15,15,75.9,15.086,0,323.31,29137000000,296,22.83202,26.90276,31.59956,31.54888,31.22822,30.41686
50S ribosomal protein L13,rplM rpl13 sll1821,P73294,RL13_SYNY3,translation [GO:0006412],ribosome [GO:0005840],mRNA binding [GO:0003729];structural constituent of ribosome [GO:0003735],mRNA binding [GO:0003729];ribosome [GO:0005840];structural constituent of ribosome [GO:0003735];translation [GO:0006412],151,12,12,12,62.9,16.99,0,123.12,27483000000,157,27.0954,30.63128,33.10444,33.86094,34.87466,33.9213
50S ribosomal protein L17,rplQ rpl17 sll1819,P73296,RL17_SYNY3,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],structural constituent of ribosome [GO:0003735],cytosolic large ribosomal subunit [GO:0022625];structural constituent of ribosome [GO:0003735];translation [GO:0006412],116,9,9,9,58.6,13.228,0,168.63,22957000000,206,28.03124,30.17026,31.02784,31.2941,38.15848,38.0729
DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha),rpoA sll1818,P73297,RPOA_SYNY3,"DNA-templated transcription, elongation [GO:0006354]",cytoplasm [GO:0005737],DNA binding [GO:0003677];DNA-directed 5'-3' RNA polymerase activity [GO:0003899];protein dimerization activity [GO:0046983],"cytoplasm [GO:0005737];DNA binding [GO:0003677];DNA-directed 5'-3' RNA polymerase activity [GO:0003899];DNA-templated transcription, elongation [GO:0006354];protein dimerization activity [GO:0046983]",314,29,29,29,81.8,35.003,0,323.31,51901000000,810,17.23518,20.9238,24.13748,23.32024,25.18726,25.73118
30S ribosomal protein S11,rpsK rps11 sll1817,P73298,RS11_SYNY3,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462];ribosomal small subunit assembly [GO:0000028];translation [GO:0006412]",cytosolic small ribosomal subunit [GO:0022627],mRNA 5'-UTR binding [GO:0048027];small ribosomal subunit rRNA binding [GO:0070181];structural constituent of ribosome [GO:0003735],"cytosolic small ribosomal subunit [GO:0022627];maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462];mRNA 5'-UTR binding [GO:0048027];ribosomal small subunit assembly [GO:0000028];small ribosomal subunit rRNA binding [GO:0070181];structural constituent of ribosome [GO:0003735];translation [GO:0006412]",130,10,10,10,67.7,13.762,0,323.31,20391000000,286,16.08446,17.9411,21.45022,20.81672,21.81426,23.47692
30S ribosomal protein S13,rpsM rps13 sll1816,P73299,RS13_SYNY3,ribosome biogenesis [GO:0042254];translation [GO:0006412],cytosol [GO:0005829];small ribosomal subunit [GO:0015935],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];tRNA binding [GO:0000049],cytosol [GO:0005829];ribosome biogenesis [GO:0042254];rRNA binding [GO:0019843];small ribosomal subunit [GO:0015935];structural constituent of ribosome [GO:0003735];translation [GO:0006412];tRNA binding [GO:0000049],127,18,18,18,77.2,14.572,0,323.31,32962000000,502,29.53034,31.50178,33.26638,31.9288,35.5153,35.84874
50S ribosomal protein L36,rpmJ rpl36 sml0006,P73300,RL36_SYNY3,translation [GO:0006412],ribosome [GO:0005840],structural constituent of ribosome [GO:0003735],ribosome [GO:0005840];structural constituent of ribosome [GO:0003735];translation [GO:0006412],38,2,2,2,31.6,4.4555,0.0026525,2.187,205030000,2,2.061277667,2.354874,2.039549333,1.6608465,1.3201006,2.317398333
Translation initiation factor IF-1,infA ssl3441,P73301,IF1_SYNY3,,cytosol [GO:0005829],ribosome binding [GO:0043022];rRNA binding [GO:0019843];translation initiation factor activity [GO:0003743],cytosol [GO:0005829];ribosome binding [GO:0043022];rRNA binding [GO:0019843];translation initiation factor activity [GO:0003743],75,2,2,2,34.7,8.6811,0,13.012,160900000,32,0.3719602,0.583061,0.385066,0.27975875,0.4859844,0.62142225
Adenylate kinase 1 (AK 1) (EC 2.7.4.3) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase 1) (Adenylate monophosphate kinase 1),adk1 sll1815,P73302,KAD1_SYNY3,AMP salvage [GO:0044209],cytoplasm [GO:0005737],adenylate kinase activity [GO:0004017];ATP binding [GO:0005524],adenylate kinase activity [GO:0004017];AMP salvage [GO:0044209];ATP binding [GO:0005524];cytoplasm [GO:0005737],185,13,13,13,91.4,20.251,0,323.31,6551600000,243,4.5058,4.665874,4.254066,4.13639,4.392898,4.00544
50S ribosomal protein L15,rplO rpl15 sll1813,P73303,RL15_SYNY3,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],cytosolic large ribosomal subunit [GO:0022625];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],147,10,10,10,83.7,15.194,0,323.31,23955000000,199,17.95798,19.71238,20.2759,21.4409,22.60506,25.67626
30S ribosomal protein S5,rpsE rps5 sll1812,P73304,RS5_SYNY3,translation [GO:0006412],small ribosomal subunit [GO:0015935],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],rRNA binding [GO:0019843];small ribosomal subunit [GO:0015935];structural constituent of ribosome [GO:0003735];translation [GO:0006412],173,21,21,21,79.8,18.241,0,323.31,96415000000,597,50.50486,57.67974,62.83902,60.6146,67.72582,70.96864
50S ribosomal protein L18,rplR rpl18 sll1811,P73305,RL18_SYNY3,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],5S rRNA binding [GO:0008097];structural constituent of ribosome [GO:0003735],5S rRNA binding [GO:0008097];cytosolic large ribosomal subunit [GO:0022625];structural constituent of ribosome [GO:0003735];translation [GO:0006412],120,10,10,10,76.7,13.204,0,323.31,11854000000,173,15.61472,18.61374,17.157338,13.73852,17.95734,19.76336
50S ribosomal protein L6,rplF rpl6 sll1810,P73306,RL6_SYNY3,cytoplasmic translation [GO:0002181],cytosolic large ribosomal subunit [GO:0022625],RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],cytoplasmic translation [GO:0002181];cytosolic large ribosomal subunit [GO:0022625];RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],179,16,16,16,75.4,19.666,0,323.31,59700000000,639,29.19076,35.95704,39.71328,40.6074,41.23544,42.20062
30S ribosomal protein S8,rpsH rps8 sll1809,P73307,RS8_SYNY3,translation [GO:0006412],cytosolic small ribosomal subunit [GO:0022627],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],cytosolic small ribosomal subunit [GO:0022627];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],133,15,15,15,88.7,14.666,0,323.31,44624000000,404,34.53666,37.6044,37.6357,43.5081,42.3489,41.75424
50S ribosomal protein L5,rplE rpl5 sll1808,P73308,RL5_SYNY3,ribosomal large subunit assembly [GO:0000027];translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];tRNA binding [GO:0000049],cytosolic large ribosomal subunit [GO:0022625];ribosomal large subunit assembly [GO:0000027];RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412];tRNA binding [GO:0000049],180,26,26,26,93.9,20.23,0,323.31,83636000000,662,37.53586,42.43888,46.28992,46.91208,50.89358,48.80448
50S ribosomal protein L24,rplX rpl24 sll1807,P73309,RL24_SYNY3,translation [GO:0006412],ribosome [GO:0005840],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],ribosome [GO:0005840];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],115,9,9,9,59.1,12.823,0,323.31,21079000000,261,25.83106,27.62924,28.19978,29.71824,30.50556,36.41066
